#  R_hMpc M_hMsun sigma
2.942450258017492271e+00 6.565519209029828000e+15 1.400340352821056289e+00
3.020563558642538116e+00 7.102408092046365000e+15 1.381090553349863859e+00
3.100750535013816922e+00 7.683200536004503000e+15 1.361986560783007061e+00
3.183066237053247871e+00 8.311486711467115000e+15 1.343028329063329140e+00
3.267567176094405390e+00 8.991150371667688000e+15 1.324214272214595089e+00
3.354311363678658786e+00 9.726392859944846000e+15 1.305544843424485846e+00
3.443358351381208493e+00 1.052175908036104400e+16 1.287020924105254371e+00
3.534769271694412129e+00 1.138216559204329200e+16 1.268641040207670434e+00
3.628606879996441492e+00 1.231293100091102600e+16 1.250406486507766646e+00
3.724935597634052353e+00 1.331980883665738200e+16 1.232317213691973778e+00
3.823821556149104683e+00 1.440902311821356600e+16 1.214372815202864997e+00
3.925332642679166817e+00 1.558730682754423800e+16 1.196572915738253196e+00
4.029538546563334656e+00 1.686194352959924800e+16 1.178916087350088571e+00
4.136510807185332261e+00 1.824081239569646400e+16 1.161401917729444788e+00
4.246322863086706256e+00 1.973243690864753200e+16 1.144030255567817456e+00
4.359050102383792868e+00 2.134603755069698400e+16 1.126801417266613203e+00
4.474769914523138326e+00 2.309158879996621200e+16 1.109715905450732176e+00
4.593561743410863762e+00 2.497988078772555200e+16 1.092774190663309053e+00
4.715507141952463677e+00 2.702258599762936000e+16 1.075978074587285560e+00
4.840689828040442677e+00 2.923233141921497200e+16 1.059324300170769506e+00
4.969195742028294838e+00 3.162277660168377600e+16 1.042813952226868901e+00
